student_id,name,class,comprehension,attention,focus,retention,assessment_score,engagement_time
S0034,Christopher Garrison,4,72.53,66.95,89.32,77.24,66.15,79
S0035,Wendy Brooks,6,70.2,57.04,62.46,67.42,68.75,47
S0036,Elizabeth Weiss,2,62.86,61.43,80.78,69.89,62.08,80
S0037,Holly Williams,2,99.48,79.07,87.35,100.0,87.91,87
S0038,Brad Hughes,7,70.33,77.27,51.82,69.55,66.02,52
S0039,Joshua Tate,2,74.88,82.8,87.37,97.85,77.4,96
S0040,Lisa Clark,6,62.25,73.8,71.69,65.3,68.46,68
S0041,Lance Bell,6,76.43,83.82,61.23,88.2,67.07,71
S0042,Benjamin Jackson,10,78.13,70.9,74.22,71.94,71.16,81
S0043,Carol Valdez,5,68.03,80.77,76.03,80.07,78.77,70
S0044,Shane Martinez,1,70.38,69.28,64.23,65.34,73.95,60
S0045,Timothy Harrison,8,73.85,73.73,84.26,82.07,82.14,92
S0046,Roger Robinson,9,75.67,67.73,72.8,69.17,72.15,76
S0047,Steven Miller,2,78.56,53.77,52.1,71.08,68.21,59
S0048,Susan Page,7,76.19,69.11,76.89,70.87,78.4,71
S0049,Lisa Holland,2,59.17,65.05,57.24,55.17,60.57,63
S0050,Gilbert Brandt,9,61.16,66.79,53.35,53.67,55.52,57
S0051,Steven Richardson,5,84.91,79.97,71.83,72.96,73.0,75
S0052,Sarah Mathews,10,69.7,60.5,71.27,79.38,69.18,69
S0053,Paul Davies,6,73.69,78.69,77.0,77.68,72.7,78
S0054,Anthony Lopez,10,86.59,82.65,92.21,68.84,87.82,89
S0055,Calvin Bullock,4,85.43,85.18,87.1,74.91,81.05,78
S0056,Cassandra Fritz,2,74.24,86.51,79.11,66.89,72.56,87
S0057,Rhonda Rodriguez,1,71.45,66.23,53.04,43.09,66.64,58
S0058,Kathleen Harper,4,69.62,77.58,82.42,82.75,75.19,86
S0059,Mary Koch,5,58.18,60.29,63.44,65.02,55.77,46
S0060,Amanda Larsen,2,85.44,76.79,95.19,83.7,91.26,86
S0061,Alex Woodard,4,100.0,88.62,98.38,95.77,100.0,83
S0062,Sue Jackson,2,85.33,62.79,67.39,60.55,68.91,72
S0063,Laura Briggs,7,85.62,98.05,73.98,71.4,82.7,89
S0064,Madison Dodson,5,53.13,68.96,59.24,75.03,64.83,54
S0065,Vanessa Tapia,8,56.39,64.36,72.5,56.98,65.05,63
S0066,Brian Thomas,6,61.22,53.79,57.64,52.49,66.54,56
S0067,Angela Anderson,3,64.71,62.1,61.23,67.92,67.62,56
S0068,Jamie Brown,6,62.04,45.83,52.12,75.18,66.36,46
S0069,Diana Stephens,6,78.26,100.0,84.72,74.74,79.83,76
S0070,Carl Burnett,4,65.98,60.66,66.86,63.38,72.79,72
S0071,Courtney Johnson,5,81.76,70.54,63.03,82.11,77.04,56
S0072,Aaron Barnett,2,61.09,57.03,75.51,83.37,61.14,71
S0073,Alexandria Stewart,10,59.6,58.75,56.58,63.88,55.33,60
S0074,Paul Thomas,3,67.59,62.24,64.88,75.54,69.67,53
S0075,Tina Stewart,9,77.0,57.64,75.34,65.69,72.34,58
S0076,Steven Miller,4,38.93,52.34,54.03,44.72,50.41,36
S0077,Karen Hunt,3,59.65,64.12,69.72,62.46,61.92,76
S0078,Jennifer Abbott,8,70.92,55.19,68.47,75.76,54.99,53
S0079,Edward Lucero,7,74.15,78.74,70.94,76.46,74.18,86
S0080,Teresa Stuart,5,75.25,69.25,68.64,69.08,72.84,64
S0081,Cindy Scott,9,89.5,79.87,70.29,82.51,78.85,54
S0082,Deborah Mason,4,44.95,57.11,60.07,73.33,59.08,56
S0083,Heather Bryant,6,60.6,80.18,84.46,66.47,78.35,85
S0084,Brandi Martinez,1,70.91,84.01,67.3,67.83,70.37,67
S0085,Evan Brooks MD,4,71.45,78.88,74.48,82.14,77.87,87
S0086,Melissa Martin,1,62.74,57.07,61.35,67.92,65.79,49
S0087,Daniel Davis,6,89.54,82.0,93.71,72.51,79.07,70
S0088,Daniel Price,7,90.2,84.52,87.2,75.96,97.41,87
S0089,Bethany Johnson,5,76.9,74.94,72.89,64.77,75.34,92
S0090,Carolyn Byrd,2,96.2,79.36,75.54,82.45,84.35,88
S0091,Claire Fletcher,4,65.31,51.81,49.66,44.98,45.68,58
S0092,Kelly Williams,10,60.41,60.37,68.05,84.09,65.75,49
S0093,Mallory Robles,6,65.36,45.97,67.11,65.7,64.5,75
S0094,Michelle Watson,4,79.11,72.41,100.0,81.74,83.26,85
S0095,Lisa Anderson,8,70.83,67.39,67.61,71.72,66.62,60
S0096,Kristopher Young,7,69.02,83.1,49.86,79.8,76.14,45
S0097,Steve Parker,8,63.6,55.31,60.35,57.69,68.3,67
S0098,Brittany Stephenson,3,88.49,73.68,78.52,86.63,75.81,83
S0099,Scott Silva,5,64.6,73.28,71.15,64.71,74.23,61

